,State,County,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,TotalPopEst2018,TotalPopEst2019,AveragePop2015to2019
175,AR,Pulaski,393576,394151,393280,391918,391911,392967.2
176,AR,Randolph,17437,17444,17665,17970,17958,17694.8
177,AR,St. Francis,26651,26347,25997,25509,24994,25899.6
178,AR,Saline,116390,117656,119520,121074,122437,119415.4
179,AR,Scott,10561,10332,10369,10339,10281,10376.4
180,AR,Searcy,7835,7968,7927,7930,7881,7908.2
181,AR,Sebastian,127385,127385,127786,127570,127827,127590.6
182,AR,Sevier,17262,16971,17103,17061,17007,17080.8
183,AR,Sharp,16808,17007,17147,17290,17442,17138.8
184,AR,Stone,12386,12509,12520,12454,12506,12475.0
185,AR,Union,40086,39879,39460,39139,38682,39449.2
186,AR,Van Buren,16808,16669,16552,16635,16545,16641.8
187,AR,Washington,224434,228482,232732,236611,239187,232289.2
188,AR,White,78915,78917,78844,78381,78753,78762.0
189,AR,Woodruff,6706,6600,6575,6466,6320,6533.4
190,AR,Yell,21506,21502,21509,21462,21341,21464.0
191,CA,California,38918045,39167117,39358497,39461588,39512223,39283494.0
192,CA,Alameda,1634538,1650950,1660196,1666756,1671329,1656753.8
193,CA,Alpine,1077,1047,1111,1089,1129,1090.6
194,CA,Amador,37031,37429,38529,39405,39752,38429.2
195,CA,Butte,224631,226231,228696,230339,219186,225816.6
196,CA,Calaveras,44965,45322,45681,45698,45905,45514.2
197,CA,Colusa,21231,21496,21579,21418,21547,21454.2
198,CA,Contra Costa,1124405,1137268,1145535,1150519,1153526,1142250.6
199,CA,Del Norte,27190,27382,27351,27740,27812,27495.0
200,CA,El Dorado,184569,185976,188679,190746,192843,188562.6
201,CA,Fresno,969488,976830,985238,991950,999101,984521.4
202,CA,Glenn,27753,27840,27926,27967,28393,27975.8
203,CA,Humboldt,135102,136290,136507,136244,135558,135940.2
204,CA,Imperial,178937,180179,181649,181523,181215,180700.6
205,CA,Inyo,18108,17922,17868,17946,18039,17976.6
206,CA,Kern,876031,880856,887356,893758,900202,887640.6
207,CA,Kings,150085,149382,149665,151382,152940,150690.8
208,CA,Lake,64260,63903,64111,64317,64386,64195.4
209,CA,Lassen,31256,30721,30920,30618,30573,30817.6
210,CA,Los Angeles,10085416,10105708,10103711,10073906,10039107,10081569.6
211,CA,Madera,153576,153956,155423,156882,157327,155432.8
212,CA,Marin,260916,260562,259749,259662,258826,259943.0
213,CA,Mariposa,17622,17456,17414,17405,17203,17420.0
214,CA,Mendocino,87107,87285,87576,87401,86749,87223.6
215,CA,Merced,266353,267628,271096,274151,277680,271381.6
216,CA,Modoc,9056,8961,8876,8800,8841,8906.8
217,CA,Mono,14077,14273,14354,14403,14444,14310.2
218,CA,Monterey,430552,433953,434534,433950,434061,433410.0
219,CA,Napa,140862,140840,139878,138789,137744,139622.6
220,CA,Nevada,98676,98913,99367,99508,99755,99243.8
221,CA,Orange,3149280,3164986,3174289,3175973,3175692,3168044.0
222,CA,Placer,372841,378943,385115,392330,398329,385511.6
223,CA,Plumas,18427,18665,18660,18741,18807,18660.0
224,CA,Riverside,2345816,2380081,2414964,2445789,2470546,2411439.2
225,CA,Sacramento,1493674,1510987,1527301,1538746,1552058,1524553.2
226,CA,San Benito,58216,59225,60164,61467,62808,60376.0
227,CA,San Bernardino,2115411,2131960,2150945,2166753,2180085,2149030.8
228,CA,San Diego,3280850,3306089,3321237,3333861,3338330,3316073.4
229,CA,San Francisco,863010,871512,878040,880696,881549,874961.4
230,CA,San Joaquin,722271,732809,743296,752491,762148,742603.0
231,CA,San Luis Obispo,280077,281803,282481,283354,283111,282165.2
232,CA,San Mateo,765055,767906,768901,768681,766573,767423.2
233,CA,Santa Barbara,442229,444340,445298,445780,446499,444829.2
234,CA,Santa Clara,1916285,1928368,1932510,1932337,1927852,1927470.4
235,CA,Santa Cruz,273503,274396,274856,273841,273213,273961.8
236,CA,Shasta,178314,178571,179384,179709,180080,179211.6
237,CA,Sierra,2985,2951,3002,2997,3005,2988.0
238,CA,Siskiyou,43254,43376,43622,43550,43539,43468.2
239,CA,Solano,433409,438858,443511,445725,447643,441829.2
240,CA,Sonoma,500863,502547,502469,498643,494336,499771.6
241,CA,Stanislaus,533211,539255,544717,548126,550660,543193.8
242,CA,Sutter,95282,95742,96204,96348,96971,96109.4
243,CA,Tehama,63158,63453,63847,64018,65084,63912.0
244,CA,Trinity,13094,12828,12726,12567,12285,12700.0
245,CA,Tulare,457161,459235,462308,464589,466195,461897.6
246,CA,Tuolumne,53615,53770,53976,54387,54478,54045.2
247,CA,Ventura,845802,847323,849044,848142,846006,847263.4
248,CA,Yolo,212037,215627,218477,220118,220500,217351.8
249,CA,Yuba,74045,74952,76578,77557,78668,76360.0
250,CO,Colorado,5450623,5539215,5611885,5691287,5758736,5610349.2
251,CO,Adams,490443,497734,503590,511354,517421,504108.4
252,CO,Alamosa,15894,16053,16108,16248,16233,16107.2
253,CO,Arapahoe,630984,638950,644478,651797,656590,644559.8
254,CO,Archuleta,12387,12825,13295,13730,14029,13253.2
255,CO,Baca,3555,3530,3554,3584,3581,3560.8
256,CO,Bent,5889,5833,5827,5808,5577,5786.8
257,CO,Boulder,318027,321250,322441,324636,326196,322510.0
258,CO,Broomfield,64866,66513,68263,69324,70465,67886.2
259,CO,Chaffee,18612,19110,19666,20041,20356,19557.0
260,CO,Cheyenne,1827,1850,1853,1859,1831,1844.0
261,CO,Clear Creek,9244,9353,9574,9604,9700,9495.0
262,CO,Conejos,8065,8050,8139,8181,8205,8128.0
263,CO,Costilla,3576,3693,3756,3812,3887,3744.8
264,CO,Crowley,5628,5285,5840,5957,6061,5754.2
265,CO,Custer,4434,4588,4857,4934,5068,4776.2
266,CO,Delta,29913,30346,30519,30884,31162,30564.8
267,CO,Denver,683285,696159,704961,716265,727211,705576.2
268,CO,Dolores,1981,2056,2045,2060,2055,2039.4
269,CO,Douglas,322025,328219,335816,342989,351154,336040.6
270,CO,Eagle,53865,54541,54929,54943,55127,54681.0
271,CO,Elbert,24630,25157,25765,26303,26729,25716.8
272,CO,El Paso,674001,688277,700099,712089,720403,698973.8
273,CO,Fremont,46282,46976,47548,47959,47839,47320.8
274,CO,Garfield,57698,58785,59032,59701,60061,59055.4
275,CO,Gilpin,5805,5914,6018,6112,6243,6018.4
276,CO,Grand,14726,15179,15364,15511,15734,15302.8
277,CO,Gunnison,16104,16414,16863,17167,17462,16802.0
278,CO,Hinsdale,764,788,791,808,820,794.2
279,CO,Huerfano,6404,6580,6628,6887,6897,6679.2
280,CO,Jackson,1353,1358,1375,1395,1392,1374.6
281,CO,Jefferson,564888,571413,575417,579392,582881,574798.2
282,CO,Kiowa,1384,1342,1365,1379,1406,1375.2
283,CO,Kit Carson,8215,7626,7137,7159,7097,7446.8
284,CO,Lake,7442,7590,7750,7846,8127,7751.0
285,CO,La Plata,54687,55316,55563,56299,56221,55617.2
