,State,County,Latitude,Longitude,TotalVets,MaleVets,FemaleVets,WhiteVets,BlackVets,HispanicVets,OtherRaceVets,LessThanHSVets,HighSchOnlyVets,SomeCollegeVets,CollegeDegreeVets,EmployeedVets,UnemployeedVets
2693,TX,Jefferson,31.1693363,-100.0768425,14668,13668,999,7977,5276,1154,545,1005,4899,6165,2597,9709,542
2694,TX,Jim Hogg,31.1693363,-100.0768425,123,123,0,0,0,123,0,19,57,19,24,123,0
2695,TX,Jim Wells,31.1693363,-100.0768425,1589,1550,38,516,34,1010,63,217,641,557,172,1021,69
2696,TX,Johnson,31.1693363,-100.0768425,7969,7206,761,6853,365,585,296,410,2390,3098,2069,6594,334
2697,TX,Jones,31.1693363,-100.0768425,1238,1144,94,916,150,135,105,124,343,607,162,466,44
2698,TX,Karnes,31.1693363,-100.0768425,792,731,60,525,7,233,110,55,248,225,263,380,160
2699,TX,Kaufman,31.1693363,-100.0768425,6907,6139,767,5135,994,605,308,473,1827,2782,1823,5706,236
2700,TX,Kendall,31.1693363,-100.0768425,3121,2783,337,2856,16,153,129,67,511,788,1753,2262,171
2701,TX,Kenedy,31.1693363,-100.0768425,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
2702,TX,Kent,31.1693363,-100.0768425,42,42,0,42,0,0,0,0,21,14,4,42,0
2703,TX,Kerr,31.1693363,-100.0768425,5063,4734,327,4409,37,460,218,177,1136,2147,1602,3280,389
2704,TX,Kimble,31.1693363,-100.0768425,422,411,10,406,0,15,4,26,157,131,105,227,0
2705,TX,King,31.1693363,-100.0768425,5,5,0,5,0,0,0,3,0,2,0,5,0
2706,TX,Kinney,31.1693363,-100.0768425,689,689,0,378,0,310,0,0,374,269,44,427,0
2707,TX,Kleberg,31.1693363,-100.0768425,1851,1820,30,638,71,1105,90,139,642,682,385,1366,75
2708,TX,Knox,31.1693363,-100.0768425,218,187,30,159,2,53,17,17,47,113,39,187,4
2709,TX,Lamar,31.1693363,-100.0768425,3077,2998,78,2787,220,42,40,307,872,1194,702,2100,215
2710,TX,Lamb,31.1693363,-100.0768425,491,458,32,383,11,88,21,66,136,194,93,334,12
2711,TX,Lampasas,31.1693363,-100.0768425,3554,2820,733,2761,453,268,174,53,683,1857,960,2618,141
2712,TX,La Salle,31.1693363,-100.0768425,401,401,0,224,23,153,36,75,87,213,24,77,0
2713,TX,Lavaca,31.1693363,-100.0768425,1198,1144,54,1083,18,90,58,177,480,366,172,816,27
2714,TX,Lee,31.1693363,-100.0768425,1095,1048,47,886,53,134,19,83,444,416,151,890,0
2715,TX,Leon,31.1693363,-100.0768425,1313,1285,27,1200,50,23,37,265,494,347,205,700,33
2716,TX,Liberty,31.1693363,-100.0768425,5459,5031,428,4193,514,573,291,419,2021,2272,744,4381,195
2717,TX,Limestone,31.1693363,-100.0768425,1517,1456,61,1187,232,62,35,182,485,589,261,975,110
2718,TX,Lipscomb,31.1693363,-100.0768425,168,152,16,148,11,4,7,11,30,72,53,143,7
2719,TX,Live Oak,31.1693363,-100.0768425,924,906,17,792,3,127,36,142,390,304,86,635,60
2720,TX,Llano,31.1693363,-100.0768425,2522,2372,148,2331,0,89,122,240,407,1101,774,1039,464
2721,TX,Loving,31.1693363,-100.0768425,4,4,0,4,0,0,0,0,0,4,0,-1,-3
2722,TX,Lubbock,31.1693363,-100.0768425,14404,13130,1273,9871,1223,2821,1091,1022,3773,5534,4073,11716,851
2723,TX,Lynn,31.1693363,-100.0768425,287,255,31,187,0,99,12,12,116,113,44,180,56
2724,TX,McCulloch,31.1693363,-100.0768425,553,551,0,446,0,93,25,65,104,265,117,479,0
2725,TX,McLennan,31.1693363,-100.0768425,14555,13211,1343,10461,2268,1525,603,918,3982,6380,3272,10827,851
2726,TX,McMullen,31.1693363,-100.0768425,29,29,0,29,0,0,0,0,1,14,11,4,0
2727,TX,Madison,31.1693363,-100.0768425,889,819,69,685,131,46,23,58,298,346,185,521,0
2728,TX,Marion,31.1693363,-100.0768425,785,719,65,679,85,20,20,47,286,339,111,490,127
2729,TX,Martin,31.1693363,-100.0768425,169,164,5,159,2,3,6,25,47,64,31,161,0
2730,TX,Mason,31.1693363,-100.0768425,302,302,0,300,0,1,0,1,66,71,162,297,39
2731,TX,Matagorda,31.1693363,-100.0768425,2402,2104,297,1651,194,495,268,171,730,1050,449,1766,77
2732,TX,Maverick,31.1693363,-100.0768425,718,679,39,81,2,631,89,57,269,292,99,660,32
2733,TX,Medina,31.1693363,-100.0768425,4238,3791,446,2630,242,1224,336,220,1009,1793,1213,2917,76
2734,TX,Menard,31.1693363,-100.0768425,217,217,0,184,0,0,32,15,108,45,48,150,0
2735,TX,Midland,31.1693363,-100.0768425,7402,6751,650,4840,832,1710,539,358,1502,3386,2153,6237,292
2736,TX,Milam,31.1693363,-100.0768425,1569,1379,189,1309,95,131,49,150,530,504,384,1225,7
2737,TX,Mills,31.1693363,-100.0768425,437,381,55,383,0,54,22,35,163,164,73,340,0
2738,TX,Mitchell,31.1693363,-100.0768425,364,364,0,313,9,28,19,16,109,150,88,114,0
2739,TX,Montague,31.1693363,-100.0768425,1433,1261,171,1350,3,61,46,138,387,659,247,1250,0
2740,TX,Montgomery,31.1693363,-100.0768425,31634,28629,3004,26081,1642,2993,1415,1488,7248,12339,10557,26431,1549
2741,TX,Moore,31.1693363,-100.0768425,648,616,32,539,12,92,59,25,239,300,83,582,0
2742,TX,Morris,31.1693363,-100.0768425,1151,988,162,922,218,10,5,58,597,326,169,872,69
2743,TX,Motley,31.1693363,-100.0768425,115,101,13,109,0,0,5,10,32,32,39,115,18
2744,TX,Nacogdoches,31.1693363,-100.0768425,3422,3113,308,2837,367,159,66,237,932,1270,982,2350,251
2745,TX,Navarro,31.1693363,-100.0768425,2777,2508,268,2295,239,105,150,297,818,1021,639,1898,82
2746,TX,Newton,31.1693363,-100.0768425,1014,971,43,881,108,0,23,85,392,447,88,900,33
2747,TX,Nolan,31.1693363,-100.0768425,818,767,50,640,10,155,18,99,346,239,132,653,72
2748,TX,Nueces,31.1693363,-100.0768425,26152,23733,2418,12042,1342,12103,1425,1918,6951,11650,5631,20668,1355
2749,TX,Ochiltree,31.1693363,-100.0768425,453,422,29,369,0,59,38,21,132,245,53,387,55
2750,TX,Oldham,31.1693363,-100.0768425,70,64,5,66,0,0,3,1,28,25,14,70,0
2751,TX,Orange,31.1693363,-100.0768425,5225,4930,294,4470,446,171,194,368,2232,1923,700,3880,195
2752,TX,Palo Pinto,31.1693363,-100.0768425,2120,1985,134,1874,58,89,99,304,555,860,398,1451,0
2753,TX,Panola,31.1693363,-100.0768425,1471,1315,155,1037,422,11,0,61,464,734,210,834,411
2754,TX,Parker,31.1693363,-100.0768425,9801,8892,908,8837,82,555,355,586,2086,4393,2735,8048,453
2755,TX,Parmer,31.1693363,-100.0768425,255,239,16,200,0,54,6,0,58,112,83,217,0
2756,TX,Pecos,31.1693363,-100.0768425,802,774,27,321,59,365,135,160,293,248,99,420,89
2757,TX,Polk,31.1693363,-100.0768425,4239,3915,324,3779,239,146,86,273,1438,1657,869,2559,429
2758,TX,Potter,31.1693363,-100.0768425,6012,5370,641,4691,496,636,332,456,1925,2471,1158,3889,159
2759,TX,Presidio,31.1693363,-100.0768425,71,71,0,0,0,71,0,0,7,33,30,71,0
2760,TX,Rains,31.1693363,-100.0768425,1148,1122,25,1043,54,30,20,103,464,414,165,840,22
2761,TX,Randall,31.1693363,-100.0768425,9465,8861,603,7957,347,1011,336,382,2100,3854,3127,8286,179
2762,TX,Reagan,31.1693363,-100.0768425,115,112,2,60,0,54,27,0,69,21,24,115,0
2763,TX,Real,31.1693363,-100.0768425,305,301,2,273,0,31,0,66,53,161,23,136,0
2764,TX,Red River,31.1693363,-100.0768425,539,468,70,432,91,0,13,17,195,242,84,372,0
2765,TX,Reeves,31.1693363,-100.0768425,706,675,30,295,48,362,138,53,242,271,139,681,0
2766,TX,Refugio,31.1693363,-100.0768425,493,473,18,227,63,186,59,33,201,197,60,349,120
2767,TX,Roberts,31.1693363,-100.0768425,45,45,0,28,0,16,0,16,13,5,9,10,0
2768,TX,Robertson,31.1693363,-100.0768425,797,783,13,550,108,88,58,112,262,271,149,642,88
2769,TX,Rockwall,31.1693363,-100.0768425,5776,5249,525,4665,394,478,386,133,1054,2534,2055,4989,158
2770,TX,Runnels,31.1693363,-100.0768425,638,589,49,475,62,94,6,117,215,175,129,467,0
