State,County,AveragePop2015to2019,TotalVets,MaleVets,FemaleVets,WhiteVets,BlackVets,HispanicVets,OtherRaceVets,LessThanHSVets,HighSchOnlyVets,SomeCollegeVets,CollegeDegreeVets,EmployeedVets,UnemployeedVets
AZ,Apache,71511.2,3079,2785,292,1564,9,190,1342,418,681,1377,601,1698,164
AZ,Cochise,125867.4,18217,15585,2631,13912,882,2638,1084,667,2990,8226,6332,13920,644
AZ,Coconino,141273.8,7342,6716,624,5141,88,1029,1277,340,1819,2862,2320,5770,178
AZ,Gila,53546.2,5498,5154,343,4671,96,407,400,348,1486,2312,1349,3591,242
AZ,Graham,37996,1944,1799,143,1400,39,349,187,103,595,866,378,1300,51
AZ,Greenlee,9521.8,643,618,23,367,11,260,30,48,215,343,35,505,4
AZ,La Paz,20793.4,2526,2470,56,2185,27,113,238,203,932,1120,269,1459,169
AZ,Maricopa,4328809.8,253833,230515,23316,199764,14573,29892,16808,10458,53168,105024,85181,201356,12548
AZ,Mohave,207695.2,24447,22544,1901,21889,306,1596,938,1850,6844,12108,3644,14723,1744
AZ,Navajo,109270,7235,6676,558,5295,74,385,1596,424,1827,3391,1591,4624,432
AZ,Pima,1027206.8,84865,76832,8032,64264,3830,13573,6980,3129,16293,35650,29792,64427,4021
AZ,Pinal,432793.2,35116,32499,2616,27330,1757,4246,2502,2474,9330,15004,8306,22543,1564
AZ,Santa Cruz,46480.2,1715,1611,104,969,12,721,105,106,416,626,567,1284,43
AZ,Yavapai,228066.6,26219,24302,1915,23880,177,1565,901,1482,6168,11640,6926,16469,2083
AZ,Yuma,209467.8,15382,14229,1153,10935,837,3010,1582,1179,4155,7309,2737,11878,354
AR,Ashley,20269.6,973,912,59,821,140,6,5,87,431,335,119,679,9
AR,Baxter,41426.6,4670,4363,307,4498,7,73,90,427,1503,1948,791,2798,113
AR,Benton,265759,15349,14102,1247,14209,264,331,634,722,4614,5518,4493,11875,518
AR,Boone,37330.8,3056,2893,163,2861,0,112,100,308,1081,1167,498,2307,83
AR,Bradley,10874.4,769,649,119,434,334,0,0,56,392,210,109,436,6
AR,Calhoun,5192,367,367,0,284,82,0,0,26,148,95,97,183,0
AR,Carroll,27965,2325,2158,165,2161,0,46,148,70,688,839,726,1580,120
AR,Chicot,10615.2,468,435,32,261,206,0,0,36,219,123,88,266,0
AR,Clark,22386.4,1419,1367,52,1124,262,10,20,68,480,535,334,1037,65
AR,Clay,14889,970,881,88,952,0,13,17,131,434,325,78,656,0
AR,Cleburne,25100,2529,2363,166,2407,14,32,73,355,720,847,605,1709,240
AR,Cleveland,8128.4,489,478,9,430,51,0,7,27,262,148,50,352,8
AR,Columbia,23775.8,1332,1160,171,959,267,135,106,118,579,322,311,977,427
AR,Conway,20858.2,1745,1431,313,1547,169,8,19,120,851,488,284,1334,127
AR,Craighead,107345,5425,5036,388,4811,475,71,106,409,1937,1716,1361,3947,177
AR,Crawford,62739.4,4298,4042,256,3913,97,97,229,373,1348,1623,952,3142,90
AR,Crittenden,48671.8,2318,2141,176,1334,845,37,116,229,860,811,416,1664,120
AR,Cross,16824.2,976,844,131,620,201,0,153,199,260,331,183,696,0
AR,Dallas,7279.4,453,415,36,330,121,2,0,9,186,181,75,367,78
AR,Desha,11709,495,461,33,297,181,2,13,35,280,117,63,256,0
AR,Drew,18416.6,1127,1014,112,893,200,0,34,66,445,403,211,897,25
AR,Faulkner,123624.4,6820,6047,772,5937,531,133,217,362,1967,2545,1944,5002,230
AR,Franklin,17738.4,1382,1268,112,1370,8,0,2,124,612,555,89,731,40
AR,Fulton,12230.6,1167,1136,29,1119,0,0,47,81,538,369,178,546,425
AR,Garland,98555,8242,7698,543,7288,520,175,309,468,2534,3292,1946,5447,229
AR,Grant,18125.6,1367,1298,68,1270,59,20,35,76,495,459,335,929,24
AR,Greene,44937.4,2880,2732,147,2788,48,21,22,301,1224,879,474,2056,277
AR,Hempstead,21842,1176,1106,69,904,255,1,16,115,429,536,94,844,38
AR,Hot Spring,33596.8,2374,2261,113,1997,213,60,134,198,1012,814,349,1539,143
AR,Howard,13311,751,728,22,593,83,10,74,60,293,355,43,532,0
AR,Independence,37427.2,2498,2321,177,2343,72,11,69,299,1015,815,367,1699,80
AR,Izard,13570.4,1392,1298,93,1354,10,19,19,211,400,519,260,937,41
AR,Jackson,17027.2,1013,942,69,849,84,0,77,135,463,300,114,547,150
AR,Jefferson,69281.6,4205,3944,260,2329,1660,114,186,320,1578,1695,610,2543,488
AR,Johnson,26371.8,1688,1556,131,1528,37,34,88,107,649,670,259,1230,7
AR,Lafayette,6799.6,426,403,22,304,113,0,8,77,177,111,59,224,29
AR,Lawrence,16548.8,1082,1014,68,998,10,51,29,180,430,379,91,758,80
AR,Lee,9193.8,338,338,0,214,121,3,0,57,155,88,36,21,0
AR,Lincoln,13455.4,757,680,76,598,150,0,7,122,244,270,119,253,50
AR,Little River,12347.4,834,774,59,740,79,0,13,111,339,280,102,412,0
AR,Logan,21667.8,1476,1321,154,1433,5,19,17,174,655,482,163,957,7
AR,Lonoke,72528,6686,5958,727,5799,282,435,327,254,2217,2777,1436,5359,78
AR,Madison,16210.8,857,817,39,801,0,16,39,166,272,316,101,613,0
AR,Marion,16475.8,1820,1785,33,1787,0,19,12,153,614,790,262,974,93
AR,Miller,43572,2896,2590,305,2053,649,59,160,232,903,1172,586,1869,27
AR,Mississippi,42125.6,2281,2062,217,1713,483,18,73,154,972,868,285,1719,145
AR,Monroe,7050.2,395,367,28,277,113,0,5,70,119,133,70,256,50
AR,Montgomery,8949.8,749,723,25,701,0,32,14,69,234,359,85,380,23
AR,Nevada,8351,445,415,30,357,71,0,16,32,181,165,65,224,0
AR,Newton,7812.4,568,540,27,543,0,0,25,119,180,159,108,358,0
AR,Ouachita,23829.6,1608,1489,118,1049,558,0,0,124,583,576,322,920,109
AR,Perry,10354.8,919,875,43,883,0,14,36,159,326,325,108,481,25
AR,Phillips,18606.2,986,973,12,527,456,0,0,173,374,319,117,656,120
AR,Pike,10756.4,783,720,63,742,35,2,4,56,331,232,162,579,0
AR,Poinsett,23895.6,1027,992,35,986,22,6,15,88,506,333,98,701,114
AR,Polk,20093.8,1887,1809,76,1798,0,1,85,162,683,769,271,1186,337
AR,Pope,63761,4282,4077,205,4020,65,72,122,292,1292,1630,1067,2921,215
AR,Prairie,8188.6,549,537,10,520,18,0,8,87,273,156,33,462,0
AR,Pulaski,392967.2,27226,24355,2870,16861,9135,639,946,1240,7219,10620,8144,18612,845
AR,Randolph,17694.8,1105,1057,48,1004,44,55,1,180,304,523,96,691,0
AR,St. Francis,25899.6,1329,1215,112,813,446,79,68,178,509,467,173,713,0
AR,Saline,119415.4,8988,8411,575,8102,494,130,310,452,3113,3119,2302,6836,412
AR,Scott,10376.4,696,634,60,644,0,0,51,140,212,282,60,273,162
AR,Searcy,7908.2,682,641,39,630,0,13,50,102,182,283,113,261,0
AR,Sebastian,127590.6,8542,7687,854,7231,514,217,591,744,2179,3861,1756,6283,339
AR,Sevier,17080.8,908,827,79,725,25,0,157,76,393,231,206,714,0
AR,Sharp,17138.8,1840,1774,65,1754,0,25,58,171,685,756,226,847,272
AR,Stone,12475,1040,978,62,1023,0,10,7,41,322,561,115,557,0
AR,Union,39449.2,2238,2095,142,1720,431,4,83,133,881,772,450,1594,174
AR,Van Buren,16641.8,1229,1141,86,1189,0,0,38,126,407,463,231,539,142
AR,Washington,232289.2,11960,11023,937,10759,484,418,409,733,3367,3963,3895,8753,821
AR,White,78762,4692,4365,327,4507,128,2,56,444,1656,1662,928,3308,151
AR,Woodruff,6533.4,328,323,3,267,54,0,5,37,95,126,68,139,21
AR,Yell,21464,1158,1151,7,1103,20,32,3,118,515,316,207,739,63
CA,Alameda,1656753.8,48602,44644,3957,25725,9175,5676,10791,2355,9992,18550,17703,37886,2140
CA,Alpine,1090.6,79,79,0,33,0,2,45,6,39,12,20,79,0
CA,Amador,38429.2,3810,3652,156,3219,66,402,169,231,791,2040,745,2334,159
CA,Butte,225816.6,14209,12957,1250,12391,216,932,1058,848,3006,6443,3911,8565,942
CA,Calaveras,45514.2,4491,4246,245,3737,92,323,399,305,1058,2403,723,2765,162
CA,Colusa,21454.2,830,739,90,500,81,189,71,72,172,371,213,586,56
CA,Contra Costa,1142250.6,46968,43397,3569,31115,5781,4753,6857,1917,8441,18036,18571,36180,2299
CA,Del Norte,27495,2048,1856,192,1634,93,172,209,185,480,1045,338,1331,403
CA,El Dorado,188562.6,13604,12742,860,11921,186,992,779,519,2619,6215,4249,9836,736
CA,Fresno,984521.4,36125,33433,2690,20606,2406,9824,6474,2901,7870,16883,8469,26893,2223
CA,Glenn,27975.8,1411,1310,99,1119,0,192,179,97,572,584,156,865,156
CA,Humboldt,135940.2,8079,7359,718,7195,47,334,610,539,1573,3444,2520,5365,371
CA,Imperial,180700.6,5528,5101,426,2027,278,3047,1072,507,1252,2635,1132,4072,391
CA,Inyo,17976.6,1526,1497,29,1161,16,142,234,108,569,494,353,1157,87
CA,Kern,887640.6,35594,32606,2986,23879,2427,7139,4402,2633,8476,16441,8041,25491,2795
CA,Kings,150690.8,9684,8393,1290,5790,1068,1842,1782,651,2060,4626,2345,7109,288
CA,Lake,64195.4,5360,4939,420,4487,122,423,702,497,1283,2723,855,2890,341
CA,Lassen,30817.6,1984,1815,168,1770,90,68,79,55,540,998,389,1351,23
CA,Los Angeles,10081569.6,261742,243602,18140,127690,43927,60915,50855,16141,52278,107325,85996,197008,16983
CA,Madera,155432.8,6317,5892,424,4474,331,1248,750,521,1562,2875,1357,4123,445
CA,Marin,259943,10516,9979,536,8661,429,585,1132,295,1127,2947,6145,8303,483
CA,Mariposa,17420,1485,1434,50,1382,0,28,76,111,415,683,273,836,202
CA,Mendocino,87223.6,5941,5449,491,5152,61,409,372,302,1362,2662,1613,4268,249
CA,Merced,271381.6,9225,8490,733,5593,545,2436,1490,915,2338,4233,1737,6312,576
CA,Modoc,8906.8,780,747,33,721,4,34,22,39,276,286,176,320,90
CA,Mono,14310.2,705,611,93,512,11,122,141,31,227,290,153,623,1
CA,Monterey,433410,16874,15304,1569,10953,1322,2984,2970,942,2816,6363,6750,12022,586
CA,Napa,139622.6,7363,6779,583,5693,170,850,806,176,1286,2908,2992,5804,539
CA,Nevada,99243.8,8015,7524,490,7163,38,500,369,416,1429,3183,2984,5461,375
CA,Orange,3168044,107811,100691,7119,74643,4391,16181,17653,5338,17188,40553,44730,88849,5273
CA,Placer,385511.6,25888,24026,1860,21904,611,1832,2009,694,4290,10839,10063,20845,1003
CA,Plumas,18660,1876,1802,73,1683,0,105,96,43,486,806,540,1482,168
CA,Riverside,2411439.2,122308,112382,9925,76813,13748,23600,17613,6375,24641,54571,36720,93253,6759
CA,Sacramento,1524553.2,77463,70464,6998,50881,9637,8664,11675,3564,15267,34032,24599,57143,4748
CA,San Benito,60376,2619,2490,129,1518,55,893,340,100,618,1156,743,1995,111
CA,San Bernardino,2149030.8,90686,82829,7856,51246,10800,22999,12882,5327,21010,42351,21995,65645,4631
CA,San Diego,3316073.4,217188,192334,24853,137192,21073,32306,35520,7389,36349,89316,84133,173764,11133
CA,San Francisco,874961.4,23619,21880,1738,12511,3799,2241,6185,1087,3854,7609,11066,17517,1273
CA,San Joaquin,742603,29013,26578,2433,17954,2354,5088,5568,2155,7332,13753,5772,21934,1775
CA,San Luis Obispo,282165.2,16767,15928,837,14199,297,1458,1267,455,3050,7401,5858,11814,539
CA,San Mateo,767423.2,25027,23301,1725,16049,1621,3016,5389,1192,4677,8839,10317,19571,1437
CA,Santa Barbara,444829.2,21027,19105,1920,15597,862,3201,2177,714,3560,8656,8095,16388,883
CA,Santa Clara,1927470.4,51472,47538,3934,31969,2224,8271,12074,2481,8123,18697,22169,41880,2862
CA,Santa Cruz,273961.8,10208,9608,599,8412,143,1166,932,433,1731,3703,4340,7345,530
CA,Shasta,179211.6,13808,12913,894,12272,190,722,869,759,3522,6385,3141,8686,875
CA,Sierra,2988,292,259,32,291,0,0,0,2,117,132,40,213,56
CA,Siskiyou,43468.2,3871,3631,239,3192,174,230,318,174,1100,1913,681,2094,255
CA,Solano,441829.2,33337,29953,3383,18797,5436,3919,6606,1122,7170,16177,8866,24611,1429
CA,Sonoma,499771.6,25613,24090,1521,21562,579,2171,2171,924,4286,10460,9941,19918,1102
CA,Stanislaus,543193.8,21051,19869,1180,14582,1040,4089,2380,1592,5640,9480,4336,14854,1238
CA,Sutter,96109.4,5986,5399,587,4607,357,495,606,326,1083,3237,1338,4580,410
CA,Tehama,63912,4392,4180,210,4003,3,194,225,357,1341,2100,592,2749,387
CA,Trinity,12700,1150,1006,143,1025,0,13,109,20,368,547,212,538,103
CA,Tulare,461897.6,14633,13481,1151,9221,569,4158,2051,1289,3630,7032,2680,10112,789
CA,Tuolumne,54045.2,5190,4984,206,4575,67,342,392,289,1567,2281,1051,3386,696
