,State,County
485,GA,Johnson
486,GA,Jones
487,GA,Lamar
488,GA,Lanier
489,GA,Laurens
490,GA,Lee
491,GA,Liberty
492,GA,Lincoln
493,GA,Long
494,GA,Lowndes
495,GA,Lumpkin
496,GA,McDuffie
497,GA,McIntosh
498,GA,Macon
499,GA,Madison
500,GA,Marion
501,GA,Meriwether
502,GA,Miller
503,GA,Mitchell
504,GA,Monroe
505,GA,Montgomery
506,GA,Morgan
507,GA,Murray
508,GA,Muscogee
509,GA,Newton
510,GA,Oconee
511,GA,Oglethorpe
512,GA,Paulding
513,GA,Peach
514,GA,Pickens
515,GA,Pierce
516,GA,Pike
517,GA,Polk
518,GA,Pulaski
519,GA,Putnam
520,GA,Quitman
521,GA,Rabun
522,GA,Randolph
523,GA,Richmond
524,GA,Rockdale
525,GA,Schley
526,GA,Screven
527,GA,Seminole
528,GA,Spalding
529,GA,Stephens
530,GA,Stewart
531,GA,Sumter
532,GA,Talbot
533,GA,Taliaferro
534,GA,Tattnall
535,GA,Taylor
536,GA,Telfair
537,GA,Terrell
538,GA,Thomas
539,GA,Tift
540,GA,Toombs
541,GA,Towns
542,GA,Treutlen
543,GA,Troup
544,GA,Turner
545,GA,Twiggs
546,GA,Union
547,GA,Upson
548,GA,Walker
549,GA,Walton
550,GA,Ware
551,GA,Warren
552,GA,Washington
553,GA,Wayne
554,GA,Webster
555,GA,Wheeler
556,GA,White
557,GA,Whitfield
558,GA,Wilcox
559,GA,Wilkes
560,GA,Wilkinson
561,GA,Worth
562,HI,Hawaii
563,HI,Hawaii
564,HI,Honolulu
565,HI,Kalawao
566,HI,Kauai
567,HI,Maui
568,ID,Idaho
569,ID,Ada
570,ID,Adams
571,ID,Bannock
572,ID,Bear Lake
573,ID,Benewah
574,ID,Bingham
575,ID,Blaine
576,ID,Boise
577,ID,Bonner
578,ID,Bonneville
579,ID,Boundary
580,ID,Butte
581,ID,Camas
582,ID,Canyon
583,ID,Caribou
584,ID,Cassia
585,ID,Clark
586,ID,Clearwater
587,ID,Custer
588,ID,Elmore
589,ID,Franklin
590,ID,Fremont
591,ID,Gem
592,ID,Gooding
593,ID,Idaho
594,ID,Jefferson
595,ID,Jerome
596,ID,Kootenai
597,ID,Latah
598,ID,Lemhi
599,ID,Lewis
600,ID,Lincoln
601,ID,Madison
602,ID,Minidoka
603,ID,Nez Perce
604,ID,Oneida
605,ID,Owyhee
606,ID,Payette
607,ID,Power
608,ID,Shoshone
609,ID,Teton
610,ID,Twin Falls
611,ID,Valley
612,ID,Washington
613,IL,Illinois
614,IL,Adams
615,IL,Alexander
616,IL,Bond
617,IL,Boone
618,IL,Brown
619,IL,Bureau
620,IL,Calhoun
621,IL,Carroll
622,IL,Cass
623,IL,Champaign
624,IL,Christian
625,IL,Clark
626,IL,Clay
627,IL,Clinton
628,IL,Coles
629,IL,Cook
630,IL,Crawford
631,IL,Cumberland
632,IL,DeKalb
633,IL,De Witt
634,IL,Douglas
635,IL,DuPage
636,IL,Edgar
637,IL,Edwards
638,IL,Effingham
639,IL,Fayette
640,IL,Ford
641,IL,Franklin
642,IL,Fulton
643,IL,Gallatin
644,IL,Greene
645,IL,Grundy
646,IL,Hamilton
647,IL,Hancock
648,IL,Hardin
649,IL,Henderson
650,IL,Henry
651,IL,Iroquois
652,IL,Jackson
653,IL,Jasper
654,IL,Jefferson
655,IL,Jersey
656,IL,Jo Daviess
657,IL,Johnson
658,IL,Kane
659,IL,Kankakee
660,IL,Kendall
661,IL,Knox
662,IL,Lake
663,IL,LaSalle
664,IL,Lawrence
665,IL,Lee
666,IL,Livingston
667,IL,Logan
668,IL,McDonough
669,IL,McHenry
670,IL,McLean
671,IL,Macon
672,IL,Macoupin
673,IL,Madison
674,IL,Marion
675,IL,Marshall
676,IL,Mason
677,IL,Massac
678,IL,Menard
679,IL,Mercer
680,IL,Monroe
681,IL,Montgomery
682,IL,Morgan
683,IL,Moultrie
684,IL,Ogle
685,IL,Peoria
686,IL,Perry
687,IL,Piatt
688,IL,Pike
689,IL,Pope
690,IL,Pulaski
691,IL,Putnam
692,IL,Randolph
693,IL,Richland
694,IL,Rock Island
695,IL,St. Clair
696,IL,Saline
697,IL,Sangamon
698,IL,Schuyler
699,IL,Scott
700,IL,Shelby
701,IL,Stark
702,IL,Stephenson
703,IL,Tazewell
704,IL,Union
705,IL,Vermilion
706,IL,Wabash
707,IL,Warren
708,IL,Washington
709,IL,Wayne
710,IL,White
711,IL,Whiteside
712,IL,Will
713,IL,Williamson
714,IL,Winnebago
715,IL,Woodford
716,IN,Indiana
717,IN,Adams
718,IN,Allen
719,IN,Bartholomew
720,IN,Benton
721,IN,Blackford
722,IN,Boone
723,IN,Brown
724,IN,Carroll
725,IN,Cass
726,IN,Clark
727,IN,Clay
728,IN,Clinton
729,IN,Crawford
730,IN,Daviess
731,IN,Dearborn
732,IN,Decatur
733,IN,DeKalb
734,IN,Delaware
735,IN,Dubois
736,IN,Elkhart
737,IN,Fayette
738,IN,Floyd
739,IN,Fountain
740,IN,Franklin
741,IN,Fulton
742,IN,Gibson
743,IN,Grant
744,IN,Greene
745,IN,Hamilton
746,IN,Hancock
747,IN,Harrison
748,IN,Hendricks
749,IN,Henry
750,IN,Howard
751,IN,Huntington
752,IN,Jackson
753,IN,Jasper
754,IN,Jay
755,IN,Jefferson
756,IN,Jennings
757,IN,Johnson
758,IN,Knox
759,IN,Kosciusko
760,IN,LaGrange
761,IN,Lake
762,IN,LaPorte
763,IN,Lawrence
764,IN,Madison
765,IN,Marion
766,IN,Marshall
767,IN,Martin
768,IN,Miami
769,IN,Monroe
770,IN,Montgomery
771,IN,Morgan
772,IN,Newton
773,IN,Noble
774,IN,Ohio
775,IN,Orange
776,IN,Owen
777,IN,Parke
778,IN,Perry
779,IN,Pike
780,IN,Porter
781,IN,Posey
782,IN,Pulaski
783,IN,Putnam
784,IN,Randolph
785,IN,Ripley
786,IN,Rush
787,IN,St. Joseph
788,IN,Scott
789,IN,Shelby
790,IN,Spencer
791,IN,Starke
792,IN,Steuben
793,IN,Sullivan
794,IN,Switzerland
795,IN,Tippecanoe
796,IN,Tipton
797,IN,Union
798,IN,Vanderburgh
799,IN,Vermillion
800,IN,Vigo
801,IN,Wabash
802,IN,Warren
803,IN,Warrick
804,IN,Washington
805,IN,Wayne
806,IN,Wells
807,IN,White
808,IN,Whitley
809,IA,Iowa
810,IA,Adair
811,IA,Adams
812,IA,Allamakee
813,IA,Appanoose
814,IA,Audubon
815,IA,Benton
816,IA,Black Hawk
817,IA,Boone
818,IA,Bremer
819,IA,Buchanan
820,IA,Buena Vista
821,IA,Butler
822,IA,Calhoun
823,IA,Carroll
824,IA,Cass
825,IA,Cedar
826,IA,Cerro Gordo
827,IA,Cherokee
828,IA,Chickasaw
829,IA,Clarke
830,IA,Clay
831,IA,Clayton
832,IA,Clinton
833,IA,Crawford
834,IA,Dallas
835,IA,Davis
836,IA,Decatur
837,IA,Delaware
838,IA,Des Moines
839,IA,Dickinson
840,IA,Dubuque
841,IA,Emmet
842,IA,Fayette
843,IA,Floyd
844,IA,Franklin
845,IA,Fremont
846,IA,Greene
847,IA,Grundy
848,IA,Guthrie
849,IA,Hamilton
850,IA,Hancock
851,IA,Hardin
852,IA,Harrison
853,IA,Henry
854,IA,Howard
855,IA,Humboldt
856,IA,Ida
857,IA,Iowa
858,IA,Jackson
859,IA,Jasper
860,IA,Jefferson
861,IA,Johnson
862,IA,Jones
863,IA,Keokuk
864,IA,Kossuth
865,IA,Lee
866,IA,Linn
867,IA,Louisa
868,IA,Lucas
869,IA,Lyon
870,IA,Madison
871,IA,Mahaska
872,IA,Marion
873,IA,Marshall
874,IA,Mills
875,IA,Mitchell
876,IA,Monona
877,IA,Monroe
878,IA,Montgomery
879,IA,Muscatine
880,IA,O'Brien
881,IA,Osceola
882,IA,Page
883,IA,Palo Alto
884,IA,Plymouth
885,IA,Pocahontas
886,IA,Polk
887,IA,Pottawattamie
888,IA,Poweshiek
889,IA,Ringgold
890,IA,Sac
891,IA,Scott
892,IA,Shelby
893,IA,Sioux
894,IA,Story
895,IA,Tama
896,IA,Taylor
897,IA,Union
898,IA,Van Buren
899,IA,Wapello
900,IA,Warren
901,IA,Washington
902,IA,Wayne
903,IA,Webster
904,IA,Winnebago
905,IA,Winneshiek
906,IA,Woodbury
907,IA,Worth
908,IA,Wright
909,KS,Kansas
910,KS,Allen
911,KS,Anderson
912,KS,Atchison
913,KS,Barber
914,KS,Barton
915,KS,Bourbon
916,KS,Brown
917,KS,Butler
918,KS,Chase
919,KS,Chautauqua
920,KS,Cherokee
921,KS,Cheyenne
922,KS,Clark
923,KS,Clay
924,KS,Cloud
925,KS,Coffey
926,KS,Comanche
927,KS,Cowley
928,KS,Crawford
929,KS,Decatur
930,KS,Dickinson
931,KS,Doniphan
932,KS,Douglas
933,KS,Edwards
934,KS,Elk
935,KS,Ellis
936,KS,Ellsworth
937,KS,Finney
938,KS,Ford
939,KS,Franklin
940,KS,Geary
941,KS,Gove
942,KS,Graham
943,KS,Grant
944,KS,Gray
945,KS,Greeley
946,KS,Greenwood
947,KS,Hamilton
948,KS,Harper
949,KS,Harvey
950,KS,Haskell
951,KS,Hodgeman
952,KS,Jackson
953,KS,Jefferson
954,KS,Jewell
955,KS,Johnson
956,KS,Kearny
957,KS,Kingman
958,KS,Kiowa
959,KS,Labette
960,KS,Lane
961,KS,Leavenworth
962,KS,Lincoln
963,KS,Linn
964,KS,Logan
965,KS,Lyon
966,KS,McPherson
967,KS,Marion
968,KS,Marshall
969,KS,Meade
970,KS,Miami
971,KS,Mitchell
972,KS,Montgomery
973,KS,Morris
974,KS,Morton
975,KS,Nemaha
976,KS,Neosho
977,KS,Ness
978,KS,Norton
979,KS,Osage
980,KS,Osborne
981,KS,Ottawa
982,KS,Pawnee
983,KS,Phillips
984,KS,Pottawatomie
985,KS,Pratt
986,KS,Rawlins
987,KS,Reno
988,KS,Republic
989,KS,Rice
990,KS,Riley
991,KS,Rooks
992,KS,Rush
993,KS,Russell
994,KS,Saline
995,KS,Scott
996,KS,Sedgwick
997,KS,Seward
998,KS,Shawnee
999,KS,Sheridan
1000,KS,Sherman
1001,KS,Smith
1002,KS,Stafford
1003,KS,Stanton
1004,KS,Stevens
1005,KS,Sumner
1006,KS,Thomas
1007,KS,Trego
1008,KS,Wabaunsee
1009,KS,Wallace
1010,KS,Washington
1011,KS,Wichita
1012,KS,Wilson
1013,KS,Woodson
1014,KS,Wyandotte
1015,KY,Kentucky
1016,KY,Adair
1017,KY,Allen
1018,KY,Anderson
1019,KY,Ballard
1020,KY,Barren
1021,KY,Bath
1022,KY,Bell
1023,KY,Boone
1024,KY,Bourbon
1025,KY,Boyd
1026,KY,Boyle
1027,KY,Bracken
1028,KY,Breathitt
1029,KY,Breckinridge
1030,KY,Bullitt
1031,KY,Butler
1032,KY,Caldwell
1033,KY,Calloway
1034,KY,Campbell
1035,KY,Carlisle
1036,KY,Carroll
1037,KY,Carter
1038,KY,Casey
1039,KY,Christian
1040,KY,Clark
1041,KY,Clay
1042,KY,Clinton
1043,KY,Crittenden
1044,KY,Cumberland
1045,KY,Daviess
1046,KY,Edmonson
1047,KY,Elliott
1048,KY,Estill
1049,KY,Fayette
1050,KY,Fleming
1051,KY,Floyd
1052,KY,Franklin
1053,KY,Fulton
1054,KY,Gallatin
1055,KY,Garrard
1056,KY,Grant
1057,KY,Graves
1058,KY,Grayson
1059,KY,Green
1060,KY,Greenup
1061,KY,Hancock
1062,KY,Hardin
1063,KY,Harlan
1064,KY,Harrison
1065,KY,Hart
1066,KY,Henderson
1067,KY,Henry
1068,KY,Hickman
1069,KY,Hopkins
1070,KY,Jackson
1071,KY,Jefferson
1072,KY,Jessamine
1073,KY,Johnson
1074,KY,Kenton
1075,KY,Knott
1076,KY,Knox
1077,KY,Larue
1078,KY,Laurel
1079,KY,Lawrence
1080,KY,Lee
1081,KY,Leslie
1082,KY,Letcher
1083,KY,Lewis
1084,KY,Lincoln
1085,KY,Livingston
1086,KY,Logan
1087,KY,Lyon
1088,KY,McCracken
1089,KY,McCreary
1090,KY,McLean
1091,KY,Madison
1092,KY,Magoffin
1093,KY,Marion
1094,KY,Marshall
1095,KY,Martin
1096,KY,Mason
1097,KY,Meade
1098,KY,Menifee
1099,KY,Mercer
1100,KY,Metcalfe
1101,KY,Monroe
1102,KY,Montgomery
1103,KY,Morgan
1104,KY,Muhlenberg
1105,KY,Nelson
1106,KY,Nicholas
1107,KY,Ohio
1108,KY,Oldham
1109,KY,Owen
1110,KY,Owsley
1111,KY,Pendleton
1112,KY,Perry
1113,KY,Pike
1114,KY,Powell
1115,KY,Pulaski
1116,KY,Robertson
1117,KY,Rockcastle
1118,KY,Rowan
1119,KY,Russell
1120,KY,Scott
1121,KY,Shelby
1122,KY,Simpson
1123,KY,Spencer
1124,KY,Taylor
1125,KY,Todd
1126,KY,Trigg
1127,KY,Trimble
1128,KY,Union
1129,KY,Warren
1130,KY,Washington
1131,KY,Wayne
1132,KY,Webster
1133,KY,Whitley
1134,KY,Wolfe
1135,KY,Woodford
1136,LA,Louisiana
1137,LA,Acadia
1138,LA,Allen
1139,LA,Ascension
1140,LA,Assumption
1141,LA,Avoyelles
1142,LA,Beauregard
1143,LA,Bienville
1144,LA,Bossier
1145,LA,Caddo
1146,LA,Calcasieu
1147,LA,Caldwell
1148,LA,Cameron
1149,LA,Catahoula
1150,LA,Claiborne
1151,LA,Concordia
1152,LA,De Soto
1153,LA,East Baton Rouge
1154,LA,East Carroll
1155,LA,East Feliciana
1156,LA,Evangeline
1157,LA,Franklin
1158,LA,Grant
1159,LA,Iberia
1160,LA,Iberville
1161,LA,Jackson
1162,LA,Jefferson
1163,LA,Jefferson Davis
1164,LA,Lafayette
1165,LA,Lafourche
1166,LA,La Salle
1167,LA,Lincoln
1168,LA,Livingston
1169,LA,Madison
1170,LA,Morehouse
1171,LA,Natchitoches
1172,LA,Orleans
1173,LA,Ouachita
1174,LA,Plaquemines
1175,LA,Pointe Coupee
1176,LA,Rapides
1177,LA,Red River
1178,LA,Richland
1179,LA,Sabine
1180,LA,St. Bernard
1181,LA,St. Charles
1182,LA,St. Helena
1183,LA,St. James
1184,LA,St. John the Baptist
1185,LA,St. Landry
1186,LA,St. Martin
1187,LA,St. Mary
1188,LA,St. Tammany
1189,LA,Tangipahoa
1190,LA,Tensas
1191,LA,Terrebonne
1192,LA,Union
1193,LA,Vermilion
1194,LA,Vernon
1195,LA,Washington
1196,LA,Webster
1197,LA,West Baton Rouge
1198,LA,West Carroll
1199,LA,West Feliciana
1200,LA,Winn
1201,ME,Maine
1202,ME,Androscoggin
1203,ME,Aroostook
1204,ME,Cumberland
1205,ME,Franklin
1206,ME,Hancock
1207,ME,Kennebec
1208,ME,Knox
1209,ME,Lincoln
1210,ME,Oxford
1211,ME,Penobscot
1212,ME,Piscataquis
1213,ME,Sagadahoc
1214,ME,Somerset
1215,ME,Waldo
1216,ME,Washington
1217,ME,York
1218,MD,Maryland
1219,MD,Allegany
1220,MD,Anne Arundel
1221,MD,Baltimore
1222,MD,Calvert
1223,MD,Caroline
1224,MD,Carroll
1225,MD,Cecil
1226,MD,Charles
1227,MD,Dorchester
1228,MD,Frederick
1229,MD,Garrett
1230,MD,Harford
1231,MD,Howard
1232,MD,Kent
1233,MD,Montgomery
1234,MD,Prince George's
1235,MD,Queen Anne's
1236,MD,St. Mary's
1237,MD,Somerset
1238,MD,Talbot
1239,MD,Washington
1240,MD,Wicomico
1241,MD,Worcester
1242,MD,Baltimore
1243,MA,Massachusetts
1244,MA,Barnstable
1245,MA,Berkshire
1246,MA,Bristol
1247,MA,Dukes
1248,MA,Essex
1249,MA,Franklin
1250,MA,Hampden
1251,MA,Hampshire
1252,MA,Middlesex
1253,MA,Nantucket
1254,MA,Norfolk
1255,MA,Plymouth
1256,MA,Suffolk
1257,MA,Worcester
1258,MI,Michigan
